type,timestamp,x,y,yaw
actual,1745086384.389766,394656.9181298637,4438783.017874883,-0.0657518412702599
actual,1745086384.4896123,394656.9202029089,4438783.017078262,-0.065716829965465
actual,1745086384.5897408,394656.9202029116,4438783.017105231,-0.06573386437896436
actual,1745086384.689701,394656.9200415993,4438783.0171372,-0.06571789461630875
actual,1745086384.7896738,394656.91997971764,4438783.017152496,-0.06571895926715227
actual,1745086384.8897092,394656.92012408073,4438783.017095855,-0.06566689609556527
actual,1745086384.9896998,394656.91981740826,4438783.01588573,-0.06567181792405612
actual,1745086385.0896857,394656.9198457749,4438783.015868357,-0.06569885307416945
actual,1745086385.1897957,394656.91990350117,4438783.015746344,-0.06565850106186329
actual,1745086385.2897434,394656.9198415053,4438783.015640744,-0.06568047475714597
actual,1745086385.3896732,394656.9196768373,4438783.0155275185,-0.06564598705112658
actual,1745086385.489672,394656.9198662802,4438783.015301826,-0.06573920508647538
actual,1745086385.589691,394656.91985536285,4438783.015211923,-0.06571775498996846
actual,1745086385.6896725,394656.9198582703,4438783.01518181,-0.06574039191036696
actual,1745086385.789692,394656.9198444693,4438783.015083912,-0.06570630563007551
actual,1745086385.8896809,394656.91978483816,4438783.0150333615,-0.06571110528551828
actual,1745086385.9897976,394656.9211614406,4438783.014764528,-0.06571869746776463
actual,1745086386.0897346,394656.9212353296,4438783.014773295,-0.06571775498996846
actual,1745086386.1897063,394656.9212668843,4438783.014933711,-0.06577355316615471
actual,1745086386.2896988,394656.9213513004,4438783.015037637,-0.0657159049409613
actual,1745086386.3896987,394656.92138034175,4438783.01520336,-0.06573187470361716
actual,1745086386.4896827,394656.92077621917,4438783.014798054,-0.06574133438816289
actual,1745086386.5897017,394656.92076527415,4438783.014873953,-0.06576184200687388
actual,1745086386.689718,394656.9206987062,4438783.0149395205,-0.06575917165311838
actual,1745086386.7896914,394656.92059597257,4438783.015057539,-0.06577608389357016
actual,1745086386.8897014,394656.9205089919,4438783.015103282,-0.06579659151228116
actual,1745086386.9896622,394656.92099653964,4438783.013638845,-0.0657449297664221
actual,1745086387.0896907,394656.9209632849,4438783.013562975,-0.06572560897160244
actual,1745086387.1897037,394656.9209655685,4438783.013447825,-0.06574067116304708
actual,1745086387.2897418,394656.92113434034,4438783.013301368,-0.06574145656121047
actual,1745086387.389675,394656.92136594956,4438783.013236527,-0.06574013011097908
actual,1745086387.489675,394656.92306195,4438783.014065873,-0.06577435601761059
actual,1745086387.58971,394656.9280526539,4438783.013599656,-0.06566223606646256
actual,1745086387.689754,394656.9373552348,4438783.01302851,-0.06578074392267289
actual,1745086387.789679,394656.9511717216,4438783.011883733,-0.06567967190568985
actual,1745086387.8897192,394656.97163101065,4438783.01018649,-0.06575850842800256
actual,1745086387.9896886,394656.99887508457,4438783.006648697,-0.06571375818598131
actual,1745086388.0897129,394657.035463017,4438783.0032819705,-0.065683668709677
actual,1745086388.1897068,394657.0814645743,4438782.99904041,-0.06568420976174524
actual,1745086388.2897172,394657.1382030248,4438782.993743523,-0.06556104187643194
actual,1745086388.389674,394657.20603689435,4438782.987558079,-0.0654947193648562
actual,1745086388.4896774,394657.2851808984,4438782.986184559,-0.0654362682882069
actual,1745086388.5897193,394657.3762144952,4438782.978881345,-0.06545318052865869
actual,1745086388.6897097,394657.4799827469,4438782.970534004,-0.06554212250734022
actual,1745086388.7896733,394657.5972849423,4438782.961176702,-0.06567221934978405
actual,1745086388.889701,394657.72826543334,4438782.950818356,-0.06581137445104543
actual,1745086388.989678,394657.8735413181,4438782.934670053,-0.06621470258788889
actual,1745086389.0897448,394658.03268350894,4438782.921172304,-0.06639499509961984
actual,1745086389.1897135,394658.2058259653,4438782.906574854,-0.06691992032544955
actual,1745086389.2896826,394658.393579203,4438782.890182257,-0.06757852031868981
actual,1745086389.38981,394658.5948527627,4438782.872398888,-0.06824097748957668
actual,1745086389.4897094,394658.80481489166,4438782.868052516,-0.06919357819531521
actual,1745086389.5896704,394659.0189847166,4438782.850610303,-0.07081811320977907
actual,1745086389.6896856,394659.2329010607,4438782.83319744,-0.07343320984121222
actual,1745086389.7897074,394659.4477720341,4438782.814727441,-0.07651954537068387
actual,1745086389.889744,394659.66334973916,4438782.79648215,-0.08095716716692701
actual,1745086389.989684,394659.89216051006,4438782.774060992,-0.08659028714090884
actual,1745086390.0895886,394660.1096555431,4438782.7530017635,-0.09320691760168187
actual,1745086390.1897566,394660.32688994263,4438782.73033901,-0.10064378299772228
actual,1745086390.2897577,394660.54391361703,4438782.706051586,-0.10985486284487742
actual,1745086390.3897104,394660.76001832075,4438782.679450452,-0.11994398293212588
actual,1745086390.4896746,394660.96575107065,4438782.654161506,-0.12980699561477863
actual,1745086390.5897248,394661.18039078667,4438782.623519128,-0.13874749706799716
actual,1745086390.6896822,394661.3954910923,4438782.591853794,-0.1467043484080842
actual,1745086390.7896976,394661.61117498437,4438782.558434974,-0.15299381690057096
actual,1745086390.8897588,394661.8266297824,4438782.52360851,-0.15863571588069025
actual,1745086390.9897099,394662.0493058809,4438782.484432282,-0.16252752085995723
actual,1745086391.08969,394662.26437614515,4438782.44666305,-0.16533329471217076
actual,1745086391.189694,394662.4796484379,4438782.408317708,-0.16734970850358488
actual,1745086391.289675,394662.6955014864,4438782.369572174,-0.1683811631849286
actual,1745086391.389692,394662.9115866929,4438782.3309344435,-0.16859594340267894
actual,1745086391.4897866,394663.1246446647,4438782.288792051,-0.1680962032779554
actual,1745086391.589704,394663.339995044,4438782.250647853,-0.16649271693427078
actual,1745086391.6896186,394663.55485279637,4438782.212970548,-0.16430677931261037
actual,1745086391.7896745,394663.76944306557,4438782.176031045,-0.16074946668448814
actual,1745086391.8896723,394663.9840902824,4438782.139164231,-0.15618373772114838
actual,1745086391.9898083,394664.20196988055,4438782.100105718,-0.1507006986095456
actual,1745086392.089705,394664.41697426536,4438782.064712033,-0.14385064781461085
actual,1745086392.1897063,394664.6320782326,4438782.031541145,-0.13613547221604744
actual,1745086392.2897437,394664.8467722151,4438782.000419503,-0.12747300171267156
actual,1745086392.3897254,394665.0609703191,4438781.971683977,-0.1173206308933308
actual,1745086392.4897776,394665.2765290894,4438781.935659542,-0.10758731362739393
actual,1745086392.5896964,394665.49149651075,4438781.910189917,-0.09966533396576174
actual,1745086392.6897478,394665.706223284,4438781.885917511,-0.09237320872458939
actual,1745086392.7897193,394665.9207586163,4438781.863091164,-0.08664873821755814
actual,1745086392.8897798,394666.1353060171,4438781.8407124765,-0.08176410269329404
actual,1745086392.989704,394666.34925228683,4438781.822320474,-0.07832330824603491
actual,1745086393.0896742,394666.5633316055,4438781.80282882,-0.07565002233734035
actual,1745086393.1897054,394666.7768917229,4438781.784294459,-0.0740863469538934
actual,1745086393.2897072,394666.99044391804,4438781.765496622,-0.07343945811993421
actual,1745086393.389765,394667.20335169905,4438781.746816369,-0.07363413214470174
actual,1745086393.489649,394667.41423488007,4438781.726076485,-0.07457118196680508
actual,1745086393.5896888,394667.62663740845,4438781.70699332,-0.07652553185001823
actual,1745086393.689691,394667.83868212235,4438781.6871057935,-0.07939722678807959
actual,1745086393.789771,394668.0501302858,4438781.666983216,-0.08328117778571258
actual,1745086393.8896954,394668.26116422156,4438781.646446818,-0.0880904499928756
actual,1745086393.9896612,394668.47852964496,4438781.632101966,-0.09431185064453455
actual,1745086394.0896738,394668.69031259243,4438781.60970726,-0.10096509811301449
actual,1745086394.1896794,394668.90122361947,4438781.585966479,-0.1092504553249119
actual,1745086394.2897332,394669.11206248816,4438781.560260502,-0.11847218168050411
actual,1745086394.3897142,394669.32274920377,4438781.53258783,-0.12860657560854935
actual,1745086394.4896798,394669.5263253832,4438781.505740524,-0.13861806345066915
actual,1745086394.5896788,394669.73485737015,4438781.473355708,-0.1467456428981863
actual,1745086394.689734,394669.943780128,4438781.440381706,-0.15415854492359682
